time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-12-17T03:50:05.640Z,36.5461,70.8004,195.89,4.6,mb,,78,0.605,0.89,us,us200081t5,2016-12-17T04:49:25.040Z,"35km S of Jarm, Afghanistan",earthquake,8.5,6.4,0.116,22,reviewed,us,us
2016-12-17T03:02:08.670Z,5.3543,125.4612,183.36,4.6,mb,,134,4.933,0.52,us,us200081t0,2016-12-17T03:34:02.040Z,"5km S of Sarangani, Philippines",earthquake,7.6,10.2,0.136,19,reviewed,us,us
2016-12-16T23:11:41.880Z,-30.4021,-71.637,28.06,5,mwr,,85,0.592,0.79,us,us200081rv,2016-12-17T01:22:48.079Z,"47km WNW of Ovalle, Chile",earthquake,3.9,4.5,0.037,72,reviewed,us,us
2016-12-16T22:39:31.850Z,-3.1272,139.1478,50.67,5.1,mb,,52,6.892,0.79,us,us200081rl,2016-12-16T23:20:52.040Z,"168km WSW of Abepura, Indonesia",earthquake,9.2,5.8,0.061,87,reviewed,us,us
2016-12-16T19:45:20.340Z,3.3853,-74.3081,61.81,4.6,mb,,65,1.449,1.02,us,us200081nl,2016-12-18T09:55:39.137Z,"29km W of Mesetas, Colombia",earthquake,6.6,10.8,0.128,19,reviewed,us,us
2016-12-16T14:58:02.730Z,-5.8157,129.3734,202.39,4.8,mb,,112,2.879,1.02,us,us200081dw,2016-12-16T15:14:30.040Z,"261km SSE of Saparua, Indonesia",earthquake,9.3,9.8,0.121,21,reviewed,us,us
2016-12-16T11:34:59.490Z,14.0702,-90.9034,79.42,5.4,mb,,74,1.531,1.38,us,us2000819r,2016-12-17T17:13:17.120Z,"15km E of La Gomera, Guatemala",earthquake,7.4,4.6,0.026,485,reviewed,us,us
2016-12-16T09:17:16.290Z,-9.952,160.7543,10,4.6,mb,,207,0.944,0.61,us,us20008195,2016-12-16T13:39:58.040Z,"105km ESE of Honiara, Solomon Islands",earthquake,8.9,2,0.141,15,reviewed,us,us
2016-12-16T06:46:51.200Z,51.5937,16.1666,5.51,4.5,mb,,41,2,1.05,us,us2000818i,2016-12-16T07:06:33.040Z,"0km S of Grebocice, Poland",earthquake,6,2.8,0.128,18,reviewed,us,us
2016-12-16T04:13:23.840Z,-23.9841,-66.8184,200.84,4.6,mb,,34,1.617,1.06,us,us2000817f,2016-12-16T04:31:47.040Z,"57km WNW of San Antonio de los Cobres, Argentina",earthquake,8,8.1,0.052,108,reviewed,us,us
2016-12-16T01:35:51.710Z,-2.7291,128.1064,50.46,4.9,mb,,62,3.555,1.15,us,us2000816r,2016-12-16T01:53:58.040Z,"38km NNW of Piru, Indonesia",earthquake,7.5,7.4,0.102,30,reviewed,us,us
2016-12-16T00:34:30.380Z,13.2164,-90.8635,44.09,4.6,mb,,124,1.53,1.21,us,us2000816k,2016-12-16T11:44:42.586Z,"78km S of Puerto San Jose, Guatemala",earthquake,7.3,8.1,0.045,148,reviewed,us,us
2016-12-15T22:23:28.760Z,-9.9259,160.5101,35,5.3,mb,,32,0.736,1.14,us,us2000815j,2016-12-16T16:00:27.000Z,"82km SE of Honiara, Solomon Islands",earthquake,5.9,2,0.043,184,reviewed,us,us
2016-12-15T17:39:31.840Z,-20.9092,169.9012,123.4,4.7,mb,,121,1.836,0.73,us,us2000812q,2016-12-15T18:18:25.040Z,"164km SSE of Isangel, Vanuatu",earthquake,11.3,7.7,0.085,42,reviewed,us,us
2016-12-15T16:34:54.890Z,13.276,-90.7794,54.16,4.7,mb,,123,1.526,0.83,us,us20008124,2016-12-16T15:32:00.040Z,"72km S of Puerto San Jose, Guatemala",earthquake,5.3,6.5,0.037,220,reviewed,us,us
2016-12-15T14:14:31.790Z,22.9306,121.2564,10,4.8,mb,,101,0.197,1.33,us,us2000811l,2016-12-15T14:41:28.040Z,"22km NNE of Taitung City, Taiwan",earthquake,4.7,1.9,0.073,58,reviewed,us,us
2016-12-15T07:14:48.210Z,-15.4589,-70.9287,10,4.5,mb,,121,2.949,1.11,us,us200080yu,2016-12-15T16:33:42.013Z,"24km NE of Huarichancara, Peru",earthquake,7.4,1.9,0.157,12,reviewed,us,us
2016-12-15T06:40:26.360Z,-6.2125,148.9688,78.1,4.5,mb,,77,3.643,0.41,us,us200080yl,2016-12-15T07:22:22.040Z,"64km W of Kandrian, Papua New Guinea",earthquake,6.4,8,0.099,30,reviewed,us,us
2016-12-15T01:29:27.610Z,-29.1659,61.0004,13.71,5.3,mb,,62,9.275,1.29,us,us200080w8,2016-12-15T01:57:38.040Z,Southwest Indian Ridge,earthquake,10.9,3.6,0.065,80,reviewed,us,us
2016-12-15T01:06:28.010Z,10.1317,126.1709,80.09,5.1,mb,,103,3.098,1.16,us,us200080vz,2016-12-15T07:52:00.028Z,"16km NE of San Isidro, Philippines",earthquake,10.1,11.1,0.158,13,reviewed,us,us
2016-12-15T00:58:16.840Z,3.6833,126.864,54.93,4.6,mb,,108,2.935,0.97,us,us200080vx,2016-12-15T01:19:32.040Z,"245km SE of Sarangani, Philippines",earthquake,6.9,6.4,0.098,31,reviewed,us,us
2016-12-15T00:18:43.610Z,-21.8244,-174.5947,10,5.2,mb,,67,5.16,1.36,us,us200080vn,2016-12-15T02:00:07.507Z,"65km SE of `Ohonua, Tonga",earthquake,9.2,1.8,0.063,83,reviewed,us,us
2016-12-15T00:13:10.480Z,-7.2552,129.7411,103.91,4.7,mb,,68,1.704,1.2,us,us200080vf,2016-12-15T00:30:49.040Z,"190km WNW of Saumlaki, Indonesia",earthquake,7.2,7.8,0.077,51,reviewed,us,us
2016-12-14T21:26:49.010Z,-21.9504,-174.4391,34.84,5.3,mb,,82,5.104,1.44,us,us200080ti,2016-12-14T21:46:35.040Z,"86km SE of `Ohonua, Tonga",earthquake,9.1,6,0.099,34,reviewed,us,us
2016-12-14T21:14:58.820Z,21.3786,144.3263,31.25,5.5,mb,,111,6.017,1.04,us,us200080td,2016-12-15T16:30:06.000Z,"110km NNW of Farallon de Pajaros, Northern Mariana Islands",earthquake,9.1,5.4,0.037,260,reviewed,us,us
2016-12-14T16:41:05.530Z,38.8221667,-122.8413333,1.48,5,mw,85,26,0.01327,0.06,nc,nc72737985,2016-12-19T01:29:26.041Z,"8km NW of The Geysers, California",earthquake,0.08,0.1,,7,reviewed,nc,nc
2016-12-14T16:34:59.670Z,-10.228,161.3937,47.97,5.2,mb,,131,1.626,0.83,us,us200080qt,2016-12-15T17:57:51.000Z,"62km WNW of Kirakira, Solomon Islands",earthquake,7.1,5.9,0.061,88,reviewed,us,us
2016-12-14T13:43:10.710Z,45.426,154.0061,24.24,4.9,mb,,136,7.953,0.68,us,us200080q4,2016-12-14T14:00:55.040Z,East of the Kuril Islands,earthquake,10.1,5.1,0.036,239,reviewed,us,us
